Ray1,Ray2,Ray3,Ray4,Ray5,Ray6,Ray7,Ray8,PlayerX
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,8.075283,40,40,25,25,25,0
25,25,7.980977,40,40,25,25,25,0
25,25,7.912606,40,40,25,25,25,0
25,25,7.844048,40,40,25,25,25,0
25,25,7.776063,40,40,25,25,25,0
25,8.151114,7.704171,40,40,25,25,25,0
25,8.083284,7.639473,40,40,25,25,25,0
25,8.010854,7.570388,40,40,25,25,25,0
25,7.940074,7.502878,40,40,25,25,25,0
25,7.868481,7.434593,40,40,25,25,25,0
25,7.794205,7.363749,40,40,25,25,25,0
25,7.722597,7.29545,40,40,25,25,25,0
25,7.65101,7.227171,40,40,25,25,25,0
25,7.577375,7.156941,40,40,25,25,25,0
25,7.504893,7.087811,40,40,25,25,25,0
25,7.436275,7.022366,40,40,25,25,25,0
25,7.360677,6.950265,40,40,25,25,25,0
25,7.291696,6.884476,40,40,25,25,25,0
25,7.221551,6.817578,40,40,25,25,25,0
25,7.142632,6.742311,40,40,25,25,25,0
25,7.070145,6.67318,40,40,25,25,25,0
25,6.999503,6.60581,40,40,25,25,25,0
25,6.927943,6.537565,40,40,25,25,25,0
25,6.856387,6.469324,40,40,25,25,25,0
25,6.783958,6.400252,40,40,25,25,25,0
25,6.713289,6.332858,40,40,25,25,25,0
25,6.641745,6.264632,40,40,25,25,25,0
25,6.570203,6.196408,40,40,25,25,25,0
25,6.481456,6.111778,40,40,25,25,25,0
25,6.409836,6.043483,40,40,25,25,25,0
25,6.338363,5.975328,40,40,25,25,25,0
25,6.266863,5.907148,40,40,25,25,25,0
25,6.195349,5.838957,40,40,25,25,25,0
25,6.123838,5.770769,40,40,25,25,25,0
25,6.052324,5.702579,40,40,25,25,25,0
25,5.980825,5.634406,40,40,25,25,25,0
25,5.909323,5.56623,40,40,25,25,25,0
25,5.830372,5.490954,40,40,25,25,25,0
25,5.75879,5.422705,40,40,25,25,25,0
25,5.6874,5.35464,40,40,25,25,25,0
25,5.61592,5.286492,40,40,25,25,25,0
25,5.544455,5.218359,40,40,25,25,25,0
25,5.472996,5.150234,40,40,25,25,25,0
25,5.401537,5.082111,40,40,25,25,25,0
25,5.328715,5.012689,40,40,25,25,25,0
25,5.258652,4.945899,40,40,25,25,25,0
25,5.172962,4.864216,40,40,25,25,25,0
25,5.101543,4.796139,40,40,25,25,25,0
25,5.02964,4.727602,40,40,25,25,25,0
25,4.958229,4.659536,40,40,25,25,25,0
25,4.887331,4.591963,40,40,25,25,25,0
25,4.813025,4.521142,40,40,25,25,25,0
25,4.744568,4.4559,40,40,25,25,25,0
25,4.669244,4.384115,40,40,25,25,25,0
25,4.601855,4.319896,40,40,25,25,25,0
25,4.521305,4.243138,40,40,25,25,25,0
25,4.449719,4.174925,40,40,25,25,25,0
25,4.289869,4.022619,40,40,25,25,25,0
25,4.218587,3.954708,40,40,25,25,25,0
25,4.146904,3.886418,40,40,25,25,25,0
25,4.076068,3.81894,40,40,25,25,25,0
25,4.004828,3.751081,40,40,25,25,25,0
25,3.933613,3.683249,40,40,25,25,25,0
25,3.854292,3.607704,40,40,25,25,25,0
25,3.783105,3.539912,40,40,25,25,25,0
25,3.711948,3.472152,40,40,25,25,25,0
25,3.640452,3.404076,40,40,25,25,25,0
25,3.569648,3.336666,40,40,25,25,25,0
25,3.49862,3.269049,40,40,25,25,25,0
25,3.427446,3.201301,40,40,25,25,25,0
25,3.3565,3.133776,40,40,25,25,25,0
25,3.285531,3.066239,40,40,25,25,25,0
25,3.202018,3.006802,40,40,25,25,25,0
25,3.129543,3.006802,40,40,25,25,25,0
25,3.057958,3.006802,40,40,25,25,25,0
25,2.988211,3.006802,40,40,25,25,25,0
25,2.916536,3.006802,40,40,25,25,25,0
25,2.847771,3.006802,40,40,25,25,25,0
3.490149,2.777053,3.006802,40,40,25,25,25,0
3.402719,2.706396,3.006802,40,40,25,25,25,0
3.314103,2.634815,3.006802,40,40,25,25,25,0
3.175858,2.523223,3.006802,40,40,25,25,25,0
3.08852,2.452778,3.006802,40,40,25,25,25,0
2.999693,2.381178,3.006802,40,40,25,25,25,0
2.911421,2.310076,3.006802,40,40,25,25,25,0
2.826752,2.241931,3.006802,40,40,25,25,25,0
2.739667,2.1719,25,40,40,25,25,25,0
2.652579,2.101933,25,40,40,25,25,25,0
2.565551,2.032088,25,40,40,25,25,25,0
2.478586,1.962375,25,40,40,25,25,25,0
2.371207,1.876424,25,40,40,25,25,25,0
2.284393,1.807049,25,40,40,25,25,25,0
2.197712,1.737897,25,40,40,25,25,25,0
2.111156,1.699164,25,40,40,25,25,25,0
2.0247,1.699164,25,40,40,25,25,25,0
1.938384,1.699164,25,40,40,25,25,25,0
1.852212,1.699164,25,40,40,25,25,25,0
1.766218,1.699164,25,40,40,25,25,25,0
1.680457,1.699164,25,40,40,25,25,25,0
1.578728,1.699164,25,40,40,25,25,25,0
1.493509,1.699164,25,40,40,25,25,25,0
1.408607,1.699164,25,40,40,25,25,25,0
1.322242,1.699164,25,40,40,25,25,25,0
1.240005,1.699164,25,40,40,25,25,25,0
1.164074,1.699164,25,40,40,25,25,25,0
1.164074,1.699164,25,40,40,25,25,25,0
1.164074,1.699164,25,40,40,25,25,25,0
1.164074,1.699164,25,40,40,25,25,25,0
1.164074,25,25,40,40,25,25,25,0
1.164074,25,25,40,40,25,25,25,0
1.164074,25,25,40,40,25,25,25,0
1.164074,25,25,40,40,25,25,25,0
1.164074,25,25,40,40,25,25,25,0
1.164074,25,25,40,40,25,25,25,0
1.164074,25,25,40,40,25,25,25,0
1.164074,25,25,40,40,25,25,25,0
1.164074,25,25,40,40,25,25,25,0
1.164074,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,25,25,25,0
25,25,25,40,40,8.086184,25,25,0
25,25,25,40,40,8.018576,25,25,0
25,25,25,40,40,7.938928,25,25,0
25,25,25,40,40,7.870601,25,25,0
25,25,25,40,40,7.801374,25,25,0
25,25,25,40,40,7.73399,8.182377,25,0
25,25,25,40,40,7.665723,8.110805,25,0
25,25,25,40,40,7.597332,8.039103,25,0
25,25,25,40,40,7.529119,7.967586,25,0
25,25,25,40,40,7.460843,7.896003,25,0
25,25,25,40,40,7.392555,7.824407,25,0
25,25,25,40,40,7.309481,7.737308,25,0
25,25,25,40,40,7.24119,7.665708,25,0
25,25,25,40,40,7.172912,7.59412,25,0
25,25,25,6.912488,6.912488,7.104647,7.522545,25,0
25,25,25,6.845261,6.845261,7.036367,7.450954,25,0
25,25,25,6.778047,6.778047,6.968101,7.379377,25,0
25,25,25,6.710787,6.710787,6.899788,7.307751,25,0
25,25,25,6.643636,6.643636,6.831585,7.236238,25,0
25,25,25,6.576433,6.576433,6.763329,7.16467,25,0
25,25,25,6.496768,6.496768,6.682415,7.079828,25,0
25,25,25,6.429566,6.429566,6.61416,7.008258,25,0
25,25,25,6.36238,6.36238,6.545919,6.936704,25,0
25,25,25,6.295193,6.295193,6.477678,6.865147,25,0
25,25,25,6.228008,6.228008,6.409438,6.793591,25,0
25,25,25,6.160831,6.160831,6.341207,6.722044,25,0
25,25,25,6.092478,6.092478,6.271779,6.64924,25,0
25,25,25,6.026496,6.026496,6.204759,6.57896,25,0
25,25,25,5.959336,5.959336,6.136544,6.507426,25,0
25,25,25,5.8815,5.8815,6.057482,6.424518,25,0
25,25,25,5.81432,5.81432,5.989244,6.352958,25,0
25,25,25,40,5.744359,5.918181,6.278433,25,-0.05266857
25,25,25,40,5.680066,5.852874,6.209945,25,-0.101074
25,25,25,40,5.612931,5.78468,6.138427,25,-0.1516235
25,25,25,40,5.545807,5.716497,6.066921,25,-0.2021694
25,25,25,40,5.4778,5.647416,5.99447,25,-0.2533861
25,25,25,40,5.411559,5.580128,5.923899,25,-0.3032778
25,25,25,40,5.344405,5.511912,5.852354,25,-0.3538628
25,25,25,40,5.250373,5.416391,5.752168,25,-0.4247038
25,25,25,40,5.183278,5.348233,5.680679,25,-0.475258
25,25,25,40,5.115619,5.279501,5.608587,25,-0.5262424
25,25,25,40,5.049097,5.211923,5.537704,25,-0.5763771
25,25,25,40,4.982069,5.14383,5.466279,25,-0.6268993
25,25,25,40,4.915009,5.075705,5.394818,25,-0.6774523
25,25,25,40,4.709395,4.866815,5.175688,25,-0.8325022
25,25,25,40,4.626016,4.782104,5.086819,25,-0.8953989
25,25,25,40,4.559016,4.714033,5.015404,25,-0.9459484
25,25,25,40,4.492033,4.645977,4.944003,25,-0.9964954
25,25,25,40,4.42506,4.57793,4.872608,25,-1
25,25,25,40,40,4.508629,4.799895,25,-1
25,25,25,40,40,4.441877,4.729854,25,-1
25,25,25,40,40,4.37182,4.656342,25,-0.9479288
25,25,25,40,40,4.305875,4.587142,25,-0.8989047
25,25,25,40,40,4.235826,4.513632,25,-0.846818
25,25,25,40,40,4.14594,4.4193,25,-0.779964
25,25,25,40,40,4.07706,4.347009,25,-0.72872
25,25,25,40,40,4.009013,4.275588,25,-0.6780828
25,25,25,40,40,3.942082,4.205334,25,-0.6282635
25,25,25,40,40,3.998532,4.134118,25,-0.5777507
25,25,25,40,40,4.252302,4.062924,25,-0.5272416
25,25,25,40,40,4.485908,3.990368,25,-0.4757546
25,8.095266,25,40,40,25,3.920472,25,-0.4261427
25,8.002867,25,40,40,25,3.849283,25,-0.3756003
25,7.918031,25,40,40,25,3.772874,25,-0.3213353
25,7.850311,25,40,40,25,3.700165,25,-0.2696825
25,7.797252,25,40,40,25,3.630443,25,-0.2201357
25,7.755621,25,40,40,25,3.559473,25,-0.1696858
25,7.726303,25,40,40,25,3.488388,25,-0.1191363
25,7.709448,25,40,40,25,3.417159,25,-0.0684648
25,7.70499,25,40,40,25,3.346286,25,-0.01802675
25,7.705004,25,40,40,25,3.273392,25,0
25,7.704985,25,40,40,25,3.204349,25,0
25,7.705006,25,40,40,25,3.122413,25,0
25,7.70499,25,40,40,25,3.051524,25,0
25,7.704978,25,40,40,25,2.980678,25,0
25,7.705022,25,40,40,25,2.922666,25,0
25,7.704997,25,40,40,25,2.922666,25,0
25,7.704996,25,40,40,25,2.922666,3.479456,0
25,7.70503,25,40,40,25,2.922666,3.392013,0
25,7.705027,25,40,40,25,2.922666,3.304623,0
25,7.705023,25,40,40,25,2.922666,3.216395,0
25,7.70503,25,40,40,25,2.922666,3.122918,0
25,7.705029,25,40,40,25,2.922666,3.034373,0
25,7.705002,25,40,40,25,2.922666,2.948362,0
25,7.705015,25,40,40,25,2.922666,2.85779,0
25,7.704976,25,40,40,25,2.922666,2.773986,0
25,7.70502,25,40,40,25,2.922666,2.686877,0
25,7.705004,25,40,40,25,2.922666,2.598797,0
25,7.704992,25,40,40,25,2.922666,2.512835,0
25,7.704992,25,40,40,25,2.922666,2.423263,0
25,7.704996,25,40,40,25,25,2.304391,0
25,7.705025,25,40,40,25,25,2.217664,0
25,7.705015,25,40,40,25,25,2.131063,0
25,7.705018,25,40,40,25,25,2.044052,0
25,7.704999,25,40,40,25,25,1.95816,0
25,7.704976,25,40,40,25,25,1.872022,0
25,7.705022,25,40,40,25,25,1.806368,0
25,7.705009,25,40,40,25,25,1.806368,0
25,7.705018,25,40,40,25,25,1.806368,0
25,7.704997,25,40,40,25,25,1.806368,0
25,7.704985,25,40,40,25,25,1.806368,0
25,7.705004,25,40,40,25,25,1.806368,0
25,7.704994,25,40,40,25,25,1.806368,0
25,7.70503,25,40,40,25,25,1.806368,0
25,7.705023,25,40,40,25,25,1.806368,0
25,7.70503,25,40,40,25,25,1.806368,0
25,7.705013,25,40,40,25,25,1.806368,0
25,7.705001,25,40,40,25,25,1.806368,0
25,7.704976,25,40,40,25,25,25,0
25,7.705017,25,40,40,25,25,25,0
25,7.70502,25,40,40,25,25,25,0
25,7.704997,25,40,40,25,25,25,0
25,7.705002,25,40,40,25,25,25,0
25,7.704982,25,40,40,25,25,25,0
25,7.704983,25,40,40,25,25,25,0
25,7.705004,25,40,40,25,25,25,0
25,7.705002,25,40,40,25,25,25,0
25,7.704996,25,40,40,25,25,25,0
25,7.704983,25,40,40,25,25,25,0
25,7.705017,25,40,40,25,25,25,0
25,7.704987,25,40,40,25,25,25,0
25,7.704988,25,40,40,25,25,25,0
25,7.705015,25,40,40,25,25,25,0
25,7.704994,25,40,40,25,25,25,0
25,7.705013,25,40,40,25,25,25,0
25,7.705015,25,40,40,25,25,25,0
25,7.705027,25,40,40,25,25,25,0
25,7.704996,25,40,40,25,25,25,0
25,7.704978,25,40,40,25,25,25,0
25,7.705017,25,40,40,25,25,25,0
25,7.704988,25,40,40,25,25,25,0
25,7.704996,25,40,40,25,25,25,0
25,7.704994,25,40,40,25,25,25,0
25,7.704985,25,40,40,25,25,25,0
25,7.705023,25,40,40,25,25,25,0
25,7.704985,25,40,40,25,25,25,0
25,7.704996,25,40,40,25,25,25,0
25,7.704978,25,40,40,25,25,25,0
25,7.705022,25,40,40,25,25,25,0
25,7.705002,25,40,40,25,25,25,0
25,7.704994,25,40,40,25,25,25,0
25,7.705018,25,40,40,25,25,25,0
25,7.705009,25,40,40,25,25,25,0
25,7.705022,25,40,40,25,25,25,0
25,7.705027,25,40,40,25,25,25,0
25,7.70502,25,40,40,25,25,25,0
25,7.705001,25,40,40,25,25,25,0
25,7.704985,25,40,40,25,25,25,0
25,7.705027,25,40,40,25,25,25,0
25,7.70502,25,40,40,25,25,25,0
25,7.704992,25,40,40,25,25,25,0
25,7.705032,25,40,40,25,25,25,0
25,7.705022,25,40,40,25,25,25,0
25,7.705006,25,40,40,25,25,25,0
25,7.704994,25,40,40,25,25,25,0
25,7.704983,25,40,40,25,25,25,0
25,7.704976,25,40,40,25,25,25,0
25,7.704979,25,40,40,25,25,25,0
25,7.704979,25,40,40,25,25,25,0
25,7.70502,25,40,40,8.081669,25,25,0
25,7.705006,25,40,40,8.013359,25,25,0
25,7.704983,25,40,40,7.944919,25,25,0
25,7.705032,25,40,40,7.876745,25,25,0
25,7.705025,25,40,40,7.80845,25,25,0
25,7.705013,25,40,40,7.740151,25,25,0
25,7.705001,25,40,40,7.671794,8.117169,25,0
25,7.704988,25,40,40,7.60251,8.044532,25,0
25,7.704987,25,40,40,7.517286,7.95518,25,0
25,7.705025,25,40,40,7.448189,7.882736,25,0
25,7.705004,25,40,40,7.380698,7.811976,25,0
25,7.70503,25,40,40,7.311655,7.739587,25,0
25,7.704996,25,40,40,7.242424,7.667001,25,0
25,7.70503,25,40,40,7.175869,7.59722,25,0
25,7.705002,25,40,6.915314,7.107517,7.525554,25,0
25,7.705017,25,40,6.844594,7.03569,7.450244,25,0
25,7.705017,25,40,6.780924,6.971023,7.382441,25,0
25,7.704999,25,40,6.700925,6.889772,7.297248,25,0
25,7.70503,25,40,6.633706,6.821499,7.225663,25,0
25,7.705023,25,40,6.566509,6.75325,7.154101,25,0
25,7.704994,25,40,6.499048,6.684731,7.082256,25,0
25,7.704992,25,40,6.432108,6.616742,7.010966,25,0
25,7.705025,25,40,6.364177,6.547745,6.938618,25,0
25,7.705027,25,40,6.297737,6.480262,6.867857,25,0
25,7.705009,25,40,6.23055,6.41202,6.796299,25,0
25,7.705001,25,40,6.163377,6.343792,6.724754,25,0
25,7.704982,25,40,6.060127,6.238919,6.614782,25,0
25,7.704994,25,40,5.990557,6.168255,6.54068,25,0
25,7.705006,25,40,5.925797,6.102477,6.471701,25,0
25,7.704996,25,40,5.858646,6.034268,6.400173,25,0
25,7.704979,25,40,5.791494,5.966059,6.328643,25,0
25,7.705023,25,40,5.724353,5.89786,6.257122,25,0
25,7.705017,25,40,5.65698,5.829424,6.185352,25,0
25,7.704988,25,40,5.589104,5.760478,6.113045,25,0
25,7.704983,25,40,5.522962,5.693291,6.042583,25,0
25,7.681145,25,40,5.429875,5.598733,5.943412,25,-0.07010861
25,7.651437,25,40,5.362761,5.530558,5.87191,25,-0.1206616
